severity,cvss3_score,cve,Title,external_references,Version,Name,condition,published,updated,Architecture
Critical,9,CVE-2022-36760,CVE-2022-36760 affects apache2,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-36760"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-36760""]",2.4.54-1~deb11u1,apache2,Package less than 2.4.56-1~deb11u1,1/17/2023,1/30/2023,amd64
Critical,9.8,CVE-2023-25690,CVE-2023-25690 affects apache2,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-25690"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25690""]",2.4.54-1~deb11u1,apache2,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
Critical,9,CVE-2022-36760,CVE-2022-36760 affects apache2-bin,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-36760"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-36760""]",2.4.54-1~deb11u1,apache2-bin,Package less than 2.4.56-1~deb11u1,1/17/2023,1/30/2023,amd64
Critical,9.8,CVE-2023-25690,CVE-2023-25690 affects apache2-bin,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-25690"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25690""]",2.4.54-1~deb11u1,apache2-bin,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
Critical,9,CVE-2022-36760,CVE-2022-36760 affects apache2-data,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-36760"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-36760""]",2.4.54-1~deb11u1,apache2-data,Package less than 2.4.56-1~deb11u1,1/17/2023,1/30/2023,all
Critical,9.8,CVE-2023-25690,CVE-2023-25690 affects apache2-data,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-25690"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25690""]",2.4.54-1~deb11u1,apache2-data,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,all
Critical,9,CVE-2022-36760,CVE-2022-36760 affects apache2-utils,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://nvd.nist.gov/vuln/detail/CVE-2022-36760"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-36760""]",2.4.54-1~deb11u1,apache2-utils,Package less than 2.4.56-1~deb11u1,1/17/2023,1/30/2023,amd64
Critical,9.8,CVE-2023-25690,CVE-2023-25690 affects apache2-utils,"[""https://httpd.apache.org/security/vulnerabilities_24.html"",""https://lists.debian.org/debian-lts-announce/2023/04/msg00028.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-25690"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2023-25690""]",2.4.54-1~deb11u1,apache2-utils,Package less than 2.4.56-1~deb11u1,3/7/2023,4/25/2023,amd64
Critical,9.8,CVE-2022-32221,CVE-2022-32221 affects curl,"[""https://hackerone.com/reports/1704017"",""https://security.gentoo.org/glsa/202212-01"",""https://security.netapp.com/advisory/ntap-20230110-0006/"",""https://support.apple.com/kb/HT213604"",""https://support.apple.com/kb/HT213605"",""http://seclists.org/fulldisclosure/2023/Jan/20"",""http://seclists.org/fulldisclosure/2023/Jan/19"",""https://www.debian.org/security/2023/dsa-5330"",""https://lists.debian.org/debian-lts-announce/2023/01/msg00028.html"",""https://security.netapp.com/advisory/ntap-20230208-0002/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-32221"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-43552""]",7.74.0-1.3+deb11u3,curl,Package less than 7.74.0-1.3+deb11u5,12/5/2022,3/1/2023,amd64
Critical,9.8,CVE-2022-23521,CVE-2022-23521 affects git,"[""https://github.com/git/git/security/advisories/GHSA-c738-c5qq-xg89"",""https://github.com/git/git/commit/508386c6c5857b4faa2c3e491f422c98cc69ae76"",""https://nvd.nist.gov/vuln/detail/CVE-2022-23521"",""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-23521""]",1:2.30.2-1,git,Package less than 1:2.30.2-1+deb11u1,1/17/2023,1/26/2023,amd64
